======================================================================
  1000x1000 ATLAS SCAN
  Potential: 1/r   Epsilon: 5e-03
  Grid: 1000x1000   Rows: 400-499
  Workers: 15   Samples/point: 400
  Output: atlas_1000/1_r/block_0400_0500/
======================================================================

  Building symbolic algebra...
  Building symbolic generators for Newtonian (1/r)...
    Level 2: 12 generators (0 zero)
    Level 3: 138 generators (0 zero)
    Total: 156 generators, 156 non-zero
    Compiling evaluator...
    Lambdifying 156 expressions individually...
      20/156  [0.7s]
      40/156  [127.1s]
      60/156  [271.5s]
      80/156  [505.7s]
      100/156  [682.2s]
      120/156  [786.2s]
      140/156  [876.2s]
      156/156  [904.4s]
    Total lambdify time: 905.0s
  Algebra ready (1370.7s)
  Algebra ready (1370.7s, 156 generators)

  Row   49/100  (global  448)  mu=2.2698  [  49000/100000]  row=219.3s  ETA=187m  ranks=[116,116]  gap=[1.3e+05,2.6e+07]
  Row   50/100  (global  449)  mu=2.2748  [  50000/100000]  row=220.7s  ETA=183m  ranks=[116,116]  gap=[1.5e+05,2.4e+07]
  Row   51/100  (global  450)  mu=2.2797  [  51000/100000]  row=219.0s  ETA=180m  ranks=[116,116]  gap=[1.2e+05,2.7e+07]
  Row   52/100  (global  451)  mu=2.2847  [  52000/100000]  row=219.1s  ETA=176m  ranks=[116,116]  gap=[1.0e+05,2.4e+07]
  Row   53/100  (global  452)  mu=2.2896  [  53000/100000]  row=221.3s  ETA=172m  ranks=[116,116]  gap=[1.4e+05,2.2e+07]
  Row   54/100  (global  453)  mu=2.2946  [  54000/100000]  row=219.9s  ETA=169m  ranks=[116,116]  gap=[1.3e+05,2.6e+07]
  Row   55/100  (global  454)  mu=2.2995  [  55000/100000]  row=218.9s  ETA=165m  ranks=[116,116]  gap=[1.1e+05,2.7e+07]
  Row   56/100  (global  455)  mu=2.3045  [  56000/100000]  row=219.0s  ETA=161m  ranks=[116,116]  gap=[1.6e+05,2.2e+07]
  Row   57/100  (global  456)  mu=2.3095  [  57000/100000]  row=219.7s  ETA=158m  ranks=[116,116]  gap=[1.4e+05,2.2e+07]
  Row   58/100  (global  457)  mu=2.3144  [  58000/100000]  row=219.3s  ETA=154m  ranks=[116,116]  gap=[1.2e+05,2.4e+07]
  Row   59/100  (global  458)  mu=2.3194  [  59000/100000]  row=219.5s  ETA=150m  ranks=[116,116]  gap=[1.4e+05,2.2e+07]
  Row   60/100  (global  459)  mu=2.3243  [  60000/100000]  row=220.6s  ETA=147m  ranks=[116,116]  gap=[1.8e+05,2.4e+07]
  Row   61/100  (global  460)  mu=2.3293  [  61000/100000]  row=219.2s  ETA=143m  ranks=[116,116]  gap=[1.5e+05,2.2e+07]
  Row   62/100  (global  461)  mu=2.3342  [  62000/100000]  row=219.7s  ETA=139m  ranks=[116,116]  gap=[1.4e+05,2.4e+07]
  Row   63/100  (global  462)  mu=2.3392  [  63000/100000]  row=219.1s  ETA=136m  ranks=[116,116]  gap=[1.3e+05,2.5e+07]
  Row   64/100  (global  463)  mu=2.3441  [  64000/100000]  row=219.4s  ETA=132m  ranks=[116,116]  gap=[1.9e+05,2.5e+07]
  Row   65/100  (global  464)  mu=2.3491  [  65000/100000]  row=219.6s  ETA=128m  ranks=[116,116]  gap=[1.8e+05,2.2e+07]
  Row   66/100  (global  465)  mu=2.3541  [  66000/100000]  row=219.4s  ETA=125m  ranks=[116,116]  gap=[1.5e+05,2.5e+07]
  Row   67/100  (global  466)  mu=2.3590  [  67000/100000]  row=219.3s  ETA=121m  ranks=[116,116]  gap=[1.7e+05,2.2e+07]
  Row   68/100  (global  467)  mu=2.3640  [  68000/100000]  row=219.0s  ETA=117m  ranks=[116,116]  gap=[1.6e+05,2.0e+07]
  Row   69/100  (global  468)  mu=2.3689  [  69000/100000]  row=219.2s  ETA=114m  ranks=[116,116]  gap=[1.5e+05,2.4e+07]
  Row   70/100  (global  469)  mu=2.3739  [  70000/100000]  row=220.7s  ETA=110m  ranks=[116,116]  gap=[1.5e+05,2.2e+07]
  Row   71/100  (global  470)  mu=2.3788  [  71000/100000]  row=219.4s  ETA=106m  ranks=[116,116]  gap=[1.5e+05,2.1e+07]
  Row   72/100  (global  471)  mu=2.3838  [  72000/100000]  row=219.2s  ETA=103m  ranks=[116,116]  gap=[1.6e+05,2.0e+07]
  Row   73/100  (global  472)  mu=2.3887  [  73000/100000]  row=218.6s  ETA=99m  ranks=[116,116]  gap=[1.8e+05,2.1e+07]
  Row   74/100  (global  473)  mu=2.3937  [  74000/100000]  row=219.3s  ETA=95m  ranks=[116,116]  gap=[2.0e+05,2.1e+07]
  Row   75/100  (global  474)  mu=2.3986  [  75000/100000]  row=219.1s  ETA=92m  ranks=[116,116]  gap=[2.0e+05,2.0e+07]
  Row   76/100  (global  475)  mu=2.4036  [  76000/100000]  row=219.4s  ETA=88m  ranks=[116,116]  gap=[1.8e+05,2.2e+07]
  Row   77/100  (global  476)  mu=2.4086  [  77000/100000]  row=220.1s  ETA=84m  ranks=[116,116]  gap=[1.6e+05,2.1e+07]
  Row   78/100  (global  477)  mu=2.4135  [  78000/100000]  row=218.9s  ETA=81m  ranks=[116,116]  gap=[1.9e+05,2.0e+07]
  Row   79/100  (global  478)  mu=2.4185  [  79000/100000]  row=219.0s  ETA=77m  ranks=[116,116]  gap=[1.9e+05,2.0e+07]
  Row   80/100  (global  479)  mu=2.4234  [  80000/100000]  row=220.4s  ETA=73m  ranks=[116,116]  gap=[1.9e+05,2.3e+07]
  Row   81/100  (global  480)  mu=2.4284  [  81000/100000]  row=219.7s  ETA=70m  ranks=[116,116]  gap=[1.9e+05,1.8e+07]
  Row   82/100  (global  481)  mu=2.4333  [  82000/100000]  row=220.2s  ETA=66m  ranks=[116,116]  gap=[1.7e+05,2.0e+07]
  Row   83/100  (global  482)  mu=2.4383  [  83000/100000]  row=219.3s  ETA=62m  ranks=[116,116]  gap=[2.0e+05,2.0e+07]
  Row   84/100  (global  483)  mu=2.4432  [  84000/100000]  row=220.3s  ETA=59m  ranks=[116,116]  gap=[1.7e+05,1.9e+07]
  Row   85/100  (global  484)  mu=2.4482  [  85000/100000]  row=219.2s  ETA=55m  ranks=[116,116]  gap=[2.2e+05,2.0e+07]
  Row   86/100  (global  485)  mu=2.4532  [  86000/100000]  row=219.2s  ETA=51m  ranks=[116,116]  gap=[1.7e+05,1.9e+07]
  Row   87/100  (global  486)  mu=2.4581  [  87000/100000]  row=219.1s  ETA=48m  ranks=[116,116]  gap=[2.1e+05,1.9e+07]
  Row   88/100  (global  487)  mu=2.4631  [  88000/100000]  row=218.0s  ETA=44m  ranks=[116,116]  gap=[2.2e+05,1.8e+07]
  Row   89/100  (global  488)  mu=2.4680  [  89000/100000]  row=219.2s  ETA=40m  ranks=[116,116]  gap=[1.6e+05,2.1e+07]
